,rounds,cum_log_growth,final_wealth,mean_log_return,max_drawdown,sharpe_like,frac_rounds_positive,worst_round
naive_kelly,14.0,0.29595755446009564,1.3444130912814583,0.02113982531857826,0.0,1.45480187272394,0.5714285714285714,0.0
robust_G0,14.0,0.29595755446009564,1.3444130912814583,0.02113982531857826,0.0,1.45480187272394,0.5714285714285714,0.0
robust_G0.5,14.0,0.049868523104400195,1.0511328876016681,0.003562037364600014,0.0,1.0407957850066527,0.14285714285714285,0.0
robust_G1,14.0,0.0,1.0,0.0,0.0,,0.0,0.0
robust_G2,14.0,0.0,1.0,0.0,0.0,,0.0,0.0
robust_G3,14.0,0.0,1.0,0.0,0.0,,0.0,0.0
robust_G5,14.0,0.0,1.0,0.0,0.0,,0.0,0.0
equal_weight,14.0,0.2928647704038106,1.3402615351502318,0.020918912171700756,0.0,1.4387537235205998,0.5714285714285714,0.0
random,14.0,0.18954183420152837,1.2086956877507662,0.013538702442966313,0.0,1.4626030263090766,0.5714285714285714,0.0
