side,price_bin,n,price,p_hat,win_rate,roi
NO,"(0.0, 0.1]",5,0.08939999999999998,0.09216408210731723,0.0,-1.0
NO,"(0.1, 0.2]",20,0.15380000000000002,0.15906647990312667,0.05,-0.75
NO,"(0.2, 0.4]",87,0.31049425287356325,0.3170080433982717,0.3333333333333333,0.08589003101468069
NO,"(0.4, 0.7]",60,0.5303166666666667,0.5389445573759603,0.5833333333333334,0.09084318757290048
NO,"(0.7, 1.0]",232,0.8320021551724137,0.8684804078740727,0.8189655172413793,-0.018049138984196054
YES,"(0.1, 0.2]",21,0.17083333333333334,0.17302634351587318,0.23809523809523808,0.34066397224291955
YES,"(0.2, 0.4]",23,0.2429782608695652,0.24457992381262236,0.34782608695652173,0.5185600008307892
YES,"(0.4, 0.7]",18,0.6341666666666668,0.6940374137576624,0.7222222222222222,0.12295533993197003
YES,"(0.7, 1.0]",58,0.8036379310344827,0.8575847664277084,0.7758620689655172,-0.041143862411726954
