meeting,naive_kelly,robust_G0,robust_G1,robust_G2,robust_G3,robust_G5,robust_G8,equal_weight,random
C08,0.06624833777714194,0.06593355215712511,0.0392915463553751,0.02583857666480824,0.015680809139314845,0.0,0.0,0.004130175874144874,0.005192597610085465
C09,0.04373331321748836,0.04373331321748836,0.03589420374096769,0.0,0.0,0.0,0.0,0.04373331321748836,0.02386680658510583
C10,-0.03252235886291599,-0.0335811759605557,-0.012941455407368185,0.006346280584941034,0.00635457018486434,0.007377620847010191,0.0,-0.0034054765925417515,-0.007154169235003825
C11,0.07997913326453492,0.07997913326454169,0.05289595660623642,0.05289595660623641,0.04495823145275154,0.02962198925990989,0.0,0.03726873457375601,0.02553079583468795
C12,-0.1733933788559515,-0.17361348577565078,-0.18110190103060425,-0.1329152332547086,-0.08922222661181435,-0.02310712118231256,-0.02310712118231256,-0.08883564664196185,-0.057019516016930345
C13,0.09345629512905439,0.09341084030156158,0.07326651964458515,0.06739464235024542,0.0544477435512779,0.031618560404233866,0.010689255470314293,0.05995026319882392,0.04646034591679016
C14,-0.004708777348037818,-0.0037702382685602174,0.06084436090110663,0.05736189762301893,0.05247730752204852,0.05071245554246122,0.05071245554246122,0.04257842375498852,0.03334468414315928
C15,0.12909147829384696,0.12910415512367235,0.01707535808460667,0.01745732332074882,0.017457323320748827,0.017457323320748827,0.017457323320748834,0.034480630539485996,0.028592624030852297
C16,-0.2254610494545628,-0.2254610494545721,-0.22129987796263384,-0.014492891842821121,0.0033810612362779706,0.012501047672735587,0.012501047672735582,-0.037002112263658266,-0.03393759773423468
C17,-0.026974022140319076,-0.02746749447019319,-0.18574346375805703,-0.16061872267150035,-0.1606187226715002,-0.1606187226715002,-0.16061872267150012,-0.12347545520344522,-0.0956078635912611
C18,0.10134620623076863,0.1020789934767383,0.07331727893770432,0.07333991326067271,0.07333991326067271,0.07333991326067275,0.07333991326067268,0.08462339698713787,0.06570194400526991
C19,0.04621146025715565,0.04712437939740285,0.006848127690657929,-0.0031616722049378496,0.0011126285686286947,0.0011126285686286982,0.0011126285686286947,-0.005888341534545967,-0.007743620399842728
C20,-0.10427399960956417,-0.10485416703547516,-0.06429700235698184,-0.06156663963606739,-0.052753556898003345,-0.09808999815260568,-0.09808999815260568,-0.10323169995558153,-0.08427349884491814
C21,-0.015606170369893585,-0.01647772917848274,-0.07977997632507691,-0.051710246491375365,-0.05159342136390621,-0.0515934213639062,-0.0515934213639062,-0.06943253850175923,-0.05289884487254523
C22,0.03303994287901328,0.03176656810892985,-0.005802228963442819,0.0049402041846490965,0.005633501311541265,0.005633501311541261,0.0002670682911125765,0.022129413775508203,0.02077770594393699
C23,0.030461458099948203,0.03107651351485144,0.059479848892709304,0.05947984889270933,0.059479848892709304,0.059479848892709304,0.0,0.051482376704531985,0.040910084683394396
C24,0.037765497864872495,0.03670939564183414,-0.02564166065738471,-0.009245337497079276,-0.004704235614671559,-0.0029499475971408056,0.0,0.024701234467643853,0.01582773380185356
C25,-0.07249208179069337,-0.07552657067816897,-0.05753421092963635,-0.05710528040319803,-0.057229324644945276,-0.05722932464494529,0.0,-0.04514494048685501,-0.03995924499061154
C26,-0.03133495552219888,-0.029616035014869497,-0.057227009649172246,-0.07106452861329299,-0.0668218806655654,-0.0668218806655654,0.0,-0.08587369591836116,-0.07151275868233749
C27,-0.01716944818169861,-0.018140866376022188,0.008714621356214954,0.007260571715051856,0.010032105519395453,0.010032105519395458,0.0,0.009733615657628867,0.00619581551504998
C28,-0.043800966848502494,-0.04265424973133341,-0.0189137767299635,-0.012340303846979709,-0.012340303846979716,-0.01234030384697971,0.0,-0.015460623134899508,-0.01211425043735782
C29,0.027424809142778644,0.027727548329481343,0.037546127089671165,0.037546127089671144,0.03754612708967114,0.03754612708967113,0.0,0.043359911086758775,0.03752049351226451
C30,0.0008650697225913555,-0.001275773277204761,0.00018404250346776066,-7.033986570978799e-05,-5.219229836504053e-05,-5.219229836504834e-05,-1.6414025829105526e-05,0.006488446952972074,0.004132400379537349
C31,-0.04205591746553166,-0.040780038438806905,-0.02415102654836919,-0.024151026548369165,-0.0241304783825578,-0.02414934925259977,-0.024130478382557802,-0.026374723577711475,-0.019623445002871172
C32,0.07849775288387305,0.07826987822124483,0.07775309981067562,0.07775309981067566,0.0777530998106756,0.07775309981067564,0.0,0.07932120365145476,0.06381966784399692
C33,0.01050074533829433,0.009085049382803306,0.016469028532992355,0.01646902853299237,0.016469028532992376,0.016469028532992355,0.0,0.021509326725794514,0.014293065470630084
C34,-0.014598179300331056,-0.014134823754857884,-0.027395857451599316,-0.027395857451599302,-0.027395857451599295,-0.027395857451599337,-0.004134169668437237,-0.014851538959632985,-0.018035950635087557
C35,-0.024627636073176622,-0.02493181050472907,-0.0227167186786373,-0.020847095937472984,-0.010950194873187099,0.0,0.0,-0.012280668321744117,-0.008533905916064186
C36,-0.010784667139004464,-0.012323400052228812,-0.004269722470801338,0.0,0.0,0.0,0.0,-0.030853853782575696,-0.023093268647571285
