,rounds,cum_log_growth,final_wealth,mean_log_return,max_drawdown,sharpe_like,frac_rounds_positive,worst_round
naive_kelly,49.0,0.005133554144294986,1.0051467534100873,0.00010476641110806094,0.2607019818882045,0.004721668536612451,0.46938775510204084,-0.2254610494545628
robust_G0,49.0,-0.02172348233905024,0.9785107731554115,-0.0004433363742663315,0.26344441579900735,-0.019938064935296044,0.4489795918367347,-0.2254610494545721
robust_G1,49.0,-0.3807062891600639,0.6833785758421025,-0.007769516105307427,0.44997689516957207,-0.36618215953130984,0.3877551020408163,-0.22129987796263384
robust_G2,49.0,-0.1168276257643974,0.8897385479479134,-0.0023842372604979062,0.256424584511158,-0.15520348313668983,0.3469387755102041,-0.16061872267150035
robust_G3,49.0,-0.0843239828400699,0.9191334243943112,-0.0017208976089810183,0.22621672274917115,-0.12424533696324208,0.32653061224489793,-0.1606187226715002
robust_G5,49.0,-0.09369286909413384,0.9105623811477344,-0.0019120993692680376,0.259215560888408,-0.14221848850705512,0.2857142857142857,-0.1606187226715002
robust_G8,49.0,-0.19561063332047485,0.8223323611717828,-0.0039920537412341806,0.231921697110559,-0.3609868292977,0.14285714285714285,-0.16061872267150012
equal_weight,49.0,0.09745626292162075,1.102363226362104,0.001988903324931036,0.6672288341141215,0.04597051294137776,0.5102040816326531,-0.2995578669319748
random,49.0,-0.15766882090258455,0.854132605998721,-0.0032177310388282563,0.5802389318195103,-0.10603870441761022,0.5102040816326531,-0.22610745095932666
