a,b,statistic,observed,lo,hi,prob_positive
robust_G3,naive_kelly,max_drawdown,-0.03448525913903333,-0.3393918778104609,0.144513415360429,0.248
robust_G3,naive_kelly,sharpe_like,-0.12896700549985454,-0.7837098272994178,0.5281505440490337,0.37866666666666665
robust_G5,naive_kelly,max_drawdown,-0.0014864209997964561,-0.3646923496815622,0.15140028813979,0.249
robust_G5,naive_kelly,sharpe_like,-0.14694015704366759,-0.860030509801636,0.6035788332499675,0.371
robust_G3,equal_weight,max_drawdown,-0.44101211136495033,-0.5636958715605941,-0.0064406054938478,0.04533333333333334
robust_G3,equal_weight,sharpe_like,-0.17021584990461985,-0.9000472727357234,0.6703054528457469,0.388
robust_G5,equal_weight,max_drawdown,-0.40801327322571346,-0.5747724647336326,-0.00807604830365222,0.045
robust_G5,equal_weight,sharpe_like,-0.18818900144843287,-0.8956585254193583,0.6689688522848873,0.38866666666666666
