variant,strategy,rounds,bets_per_round,cum_log_growth,max_drawdown,sharpe_like,worst_round
cost_0.5c,naive_kelly,49,11.673469387755102,0.2513097289842724,0.23163066564436674,0.2055957442346961,-0.22407682249720265
cost_0.5c,robust_G0,49,11.673469387755102,0.23576140275703836,0.2312325235123882,0.19409705913677633,-0.22407682249720812
cost_0.5c,robust_G2,49,11.673469387755102,0.032728392952013484,0.23984760191997445,0.04015696601734642,-0.1591231749852652
cost_0.5c,robust_G5,49,11.673469387755102,-0.09842050024073798,0.2423334021120317,-0.14238504853762593,-0.15912317498526501
cost_0.5c,equal_weight,49,11.673469387755102,0.6084001816555504,0.36259968179751934,0.3128979342956326,-0.2891897998387946
cost_0.5c,random,49,11.673469387755102,0.16821879292254988,0.35244889978158755,0.10732207220558986,-0.24606079964432545
cost_2c,naive_kelly,49,6.979591836734694,-0.12696648049349488,0.31795260419047455,-0.12657506030437238,-0.228174433180477
cost_2c,robust_G0,49,6.979591836734694,-0.12621000481168604,0.3182879033529158,-0.12559537518527641,-0.22817443318048666
cost_2c,robust_G2,49,6.979591836734694,-0.17604520963097497,0.2847393747810867,-0.25080911591054783,-0.1635606672830255
cost_2c,robust_G5,49,6.979591836734694,-0.2021698017167069,0.25948208143534734,-0.36804507156755767,-0.16356066728302557
cost_2c,equal_weight,49,6.979591836734694,-0.2589770883755469,0.3327359516791544,-0.2640651557409579,-0.22314355131420976
cost_2c,random,49,6.979591836734694,-0.3118588911222577,0.326974241883741,-0.4004100229712678,-0.14046963286799138
cost_3c,naive_kelly,49,5.326530612244898,-0.35584148658641945,0.3804532608359359,-0.36661421661807014,-0.23081680042794228
cost_3c,robust_G0,49,5.326530612244898,-0.3517382918636034,0.3776313228800393,-0.36267287242037133,-0.23081680042794617
cost_3c,robust_G2,49,5.326530612244898,-0.26643393416838707,0.26678749366523236,-0.4283325971209917,-0.16643889004494775
cost_3c,robust_G5,49,5.326530612244898,-0.2166650963304175,0.23720483133211023,-0.4002116757187771,-0.1664388900449478
cost_3c,equal_weight,49,5.326530612244898,-0.32877269842628465,0.35298043389098976,-0.4376528442596812,-0.15730390940466232
cost_3c,random,49,5.326530612244898,-0.2941530011065717,0.2981581972932613,-0.5201379780918816,-0.1079331920433187
cost_5c,naive_kelly,49,2.816326530612245,-0.3280162737099278,0.32905864075418,-0.35868908717832204,-0.23589938734588248
cost_5c,robust_G0,49,2.816326530612245,-0.32630290787856653,0.3286117099632486,-0.3567788934342918,-0.23589938734589483
cost_5c,robust_G2,49,2.816326530612245,-0.22549836009575205,0.22361438836418768,-0.48966408111766563,-0.17201230177740162
cost_5c,robust_G5,49,2.816326530612245,-0.004437495879115487,0.004427664741530224,-0.45178415184549586,-0.003948736494176747
cost_5c,equal_weight,49,2.816326530612245,-0.2984533600500681,0.3306399411626342,-0.40575494086941416,-0.14797160236799614
cost_5c,random,49,2.816326530612245,-0.25543734485639147,0.2674557841014511,-0.4805582181082699,-0.10661752223187454
min_edge_2c,naive_kelly,49,5.346938775510204,-0.08466331743391153,0.26025281863150673,-0.0848621753886938,-0.2254610494545628
min_edge_2c,robust_G0,49,5.346938775510204,-0.08963109517125484,0.26325473416106304,-0.0896405753988489,-0.2254610494545721
min_edge_2c,robust_G2,49,5.346938775510204,-0.1374972233971599,0.24160710449175826,-0.1929614133647001,-0.16061872267150035
min_edge_2c,robust_G5,49,5.346938775510204,-0.1473919856290169,0.26782760967073216,-0.238735675055303,-0.1606187226715002
min_edge_2c,equal_weight,49,5.346938775510204,-0.10926891117370072,0.2552569015090308,-0.14469207347488497,-0.15146631203100308
min_edge_2c,random,49,5.346938775510204,-0.145412412103337,0.2329326379946871,-0.2507084644151059,-0.1069946347742966
max_bets_6,naive_kelly,49,5.755102040816326,-0.09150774700938549,0.34615432868874685,-0.0816617075633086,-0.22546104945456283
max_bets_6,robust_G0,49,5.755102040816326,-0.10697461643264988,0.3412809345293101,-0.09571366708242132,-0.22546104945457224
max_bets_6,robust_G2,49,5.755102040816326,-0.2799065014076343,0.3340213444838832,-0.32929454863403995,-0.1691631838155293
max_bets_6,robust_G5,49,5.755102040816326,-0.08496041462368066,0.11928555360204018,-0.278732446932209,-0.0677123798976508
max_bets_6,equal_weight,49,5.755102040816326,0.8071623799711911,0.5511200822871399,0.2794733976757439,-0.4307829160924542
max_bets_6,random,49,5.755102040816326,0.2835887307387912,0.4307516860814088,0.15639417948242965,-0.26322601981554716
max_bets_20,naive_kelly,49,15.551020408163266,-0.3347742507336132,0.4293972079295716,-0.30037333042092396,-0.2254610494545628
max_bets_20,robust_G0,49,15.551020408163266,-0.3388432833933074,0.4284920105703738,-0.3035055144456165,-0.2254610494545722
max_bets_20,robust_G2,49,15.551020408163266,-0.40360537677255626,0.39200792893346814,-0.5222329287760747,-0.14691370660208078
max_bets_20,robust_G5,49,15.551020408163266,-0.15253027737255462,0.2520463477697723,-0.28611162727474737,-0.08566389006713007
max_bets_20,equal_weight,49,15.551020408163266,-0.412972738154902,0.7049178491686061,-0.20220850813603342,-0.2995578669319748
max_bets_20,random,49,15.551020408163266,-0.7941512882976084,0.7012045629418583,-0.5025955684718181,-0.222163453499651
isotonic,naive_kelly,49,11.591836734693878,0.4025666612843955,0.7974254659467129,0.11418249252852541,-0.43078291609245356
isotonic,robust_G0,49,11.591836734693878,0.43312458454307795,0.7970435117381232,0.12218496248174864,-0.43078291609245417
isotonic,robust_G2,49,11.591836734693878,-0.5735787444261853,0.7106891713145895,-0.24603366695537704,-0.43078291609245395
isotonic,robust_G5,49,11.591836734693878,-0.03310810538364098,0.5621854595672083,-0.020499782252772464,-0.2511488504133209
isotonic,equal_weight,49,11.591836734693878,-0.19146221817074016,0.6751332631050906,-0.07651350095777767,-0.4307829160924542
isotonic,random,49,11.591836734693878,-0.4718876012421228,0.6180756091449646,-0.241221782053813,-0.31815549715350405
bootstrap_intervals,naive_kelly,49,10.693877551020408,0.005133554144294986,0.2607019818882045,0.004721668536612451,-0.2254610494545628
bootstrap_intervals,robust_G0,49,10.693877551020408,-0.02172348233905024,0.26344441579900735,-0.019938064935296044,-0.2254610494545721
bootstrap_intervals,robust_G2,49,10.693877551020408,-0.02906937831566092,0.28298072435608024,-0.03308984648611512,-0.19918215891010174
bootstrap_intervals,robust_G5,49,10.693877551020408,-0.15320263817302343,0.34432390633040477,-0.1711848815082486,-0.1991821589101015
