method,n,events,brier,ece,log_loss,brier_gain_lo,brier_gain_hi
raw,2623,1968,0.16563656004574914,0.02586199008768584,0.49737044237804834,,
platt,2623,1968,0.16643750651149747,0.024455494106800212,0.5003283929676358,-0.0015069725267884775,-0.00012372052514607286
isotonic,2623,1968,0.16826009280093795,0.04011980003764462,0.5164371570464394,-0.004086941335502814,-0.0011195128622204207
