a,b,observed,lo,hi,prob_positive
naive_kelly,equal_weight,-0.09232270877732585,-1.3760200829378868,1.1455784020750064,0.4554
naive_kelly,random,0.1628023750468795,-0.7572797545006938,1.0596316012812705,0.6166
robust_G1,naive_kelly,-0.3858398433043588,-0.8252331202956863,0.02578912785952334,0.0624
robust_G2,naive_kelly,-0.12196117990869226,-0.6695307987223331,0.45729903004180417,0.3534
robust_G3,naive_kelly,-0.08945753698436477,-0.6796714338475393,0.5519034118296421,0.398
robust_G5,naive_kelly,-0.09882642323842873,-0.734306466128443,0.6038857812575424,0.392
robust_G8,naive_kelly,-0.20074418746476974,-0.8661673743864687,0.5255519629539309,0.3146
robust_G1,equal_weight,-0.47816255208168484,-1.7833841246674125,0.8080125194282853,0.2788
robust_G2,equal_weight,-0.21428388868601825,-1.5204427571746237,1.0499299622643157,0.3956
robust_G3,equal_weight,-0.18178024576169055,-1.478828205098662,1.102193985099354,0.414
robust_G5,equal_weight,-0.19114913201575462,-1.4896655453321321,1.088337174990254,0.41
robust_G8,equal_weight,-0.29306689624209564,-1.6112664449877176,1.009605921126129,0.3636
