variant,strategy,rounds,bets_per_round,cum_log_growth,max_drawdown,sharpe_like,worst_round
bootstrap_intervals,naive_kelly,14,1.0714285714285714,0.29595755446009564,0.0,1.45480187272394,0.0
bootstrap_intervals,robust_G0,14,1.0714285714285714,0.29595755446009564,0.0,1.45480187272394,0.0
bootstrap_intervals,robust_G1,14,1.0714285714285714,0.29595755446009564,0.0,1.45480187272394,0.0
bootstrap_intervals,robust_G2,14,1.0714285714285714,0.29595755446009564,0.0,1.45480187272394,0.0
bootstrap_intervals,robust_G5,14,1.0714285714285714,0.29595755446009564,0.0,1.45480187272394,0.0
bootstrap_intervals,equal_weight,14,1.0714285714285714,0.2928647704038106,0.0,1.4387537235205998,0.0
bootstrap_intervals,random,14,1.0714285714285714,0.19082270758928777,0.0,1.459237714915404,0.0
bootstrap_no_weights,naive_kelly,14,1.0714285714285714,0.29595755446009564,0.0,1.45480187272394,0.0
bootstrap_no_weights,robust_G0,14,1.0714285714285714,0.29595755446009564,0.0,1.45480187272394,0.0
bootstrap_no_weights,robust_G1,14,1.0714285714285714,0.29595755446009564,0.0,1.45480187272394,0.0
bootstrap_no_weights,robust_G2,14,1.0714285714285714,0.29595755446009564,0.0,1.45480187272394,0.0
bootstrap_no_weights,robust_G5,14,1.0714285714285714,0.29595755446009564,0.0,1.45480187272394,0.0
bootstrap_no_weights,equal_weight,14,1.0714285714285714,0.2928647704038106,0.0,1.4387537235205998,0.0
bootstrap_no_weights,random,14,1.0714285714285714,0.19082270758928777,0.0,1.459237714915404,0.0
weak_prior_platt,naive_kelly,14,1.0714285714285714,0.29595755446009564,0.0,1.45480187272394,0.0
weak_prior_platt,robust_G0,14,1.0714285714285714,0.29595755446009564,0.0,1.45480187272394,0.0
weak_prior_platt,robust_G1,14,1.0714285714285714,0.0,0.0,,0.0
weak_prior_platt,robust_G2,14,1.0714285714285714,0.0,0.0,,0.0
weak_prior_platt,robust_G5,14,1.0714285714285714,0.0,0.0,,0.0
weak_prior_platt,equal_weight,14,1.0714285714285714,0.2928647704038106,0.0,1.4387537235205998,0.0
weak_prior_platt,random,14,1.0714285714285714,0.19082270758928777,0.0,1.459237714915404,0.0
consensus_filter,naive_kelly,14,0.0,0.0,0.0,,0.0
consensus_filter,robust_G0,14,0.0,0.0,0.0,,0.0
consensus_filter,robust_G1,14,0.0,0.0,0.0,,0.0
consensus_filter,robust_G2,14,0.0,0.0,0.0,,0.0
consensus_filter,robust_G5,14,0.0,0.0,0.0,,0.0
consensus_filter,equal_weight,14,0.0,0.0,0.0,,0.0
consensus_filter,random,14,0.0,0.0,0.0,,0.0
isotonic,naive_kelly,14,1.0714285714285714,0.29595755446009564,0.0,1.45480187272394,0.0
isotonic,robust_G0,14,1.0714285714285714,0.29595755446009564,0.0,1.45480187272394,0.0
isotonic,robust_G1,14,1.0714285714285714,0.2929336392848242,0.0,1.4646115730600247,0.0
isotonic,robust_G2,14,1.0714285714285714,0.22553684336687138,0.0,1.7053091382340777,0.0
isotonic,robust_G5,14,1.0714285714285714,0.22553684336687138,0.0,1.7053091382340777,0.0
isotonic,equal_weight,14,1.0714285714285714,0.2928647704038106,0.0,1.4387537235205998,0.0
isotonic,random,14,1.0714285714285714,0.19082270758928777,0.0,1.459237714915404,0.0
cost_0.5c,naive_kelly,14,1.1428571428571428,0.3238021647365183,0.0,1.5529777521818333,0.0
cost_0.5c,robust_G0,14,1.1428571428571428,0.3238021647365183,0.0,1.5529777521818333,0.0
cost_0.5c,robust_G1,14,1.1428571428571428,0.0,0.0,,0.0
cost_0.5c,robust_G2,14,1.1428571428571428,0.0,0.0,,0.0
cost_0.5c,robust_G5,14,1.1428571428571428,0.0,0.0,,0.0
cost_0.5c,equal_weight,14,1.1428571428571428,0.3206872333736077,0.0,1.5374093450914266,0.0
cost_0.5c,random,14,1.1428571428571428,0.2082523759319755,0.0,1.5515913938553008,0.0
cost_2c,naive_kelly,14,0.5714285714285714,0.24097373909038644,0.0,1.2412101118615981,0.0
cost_2c,robust_G0,14,0.5714285714285714,0.24097373909038644,0.0,1.2412101118615981,0.0
cost_2c,robust_G1,14,0.5714285714285714,0.0,0.0,,0.0
cost_2c,robust_G2,14,0.5714285714285714,0.0,0.0,,0.0
cost_2c,robust_G5,14,0.5714285714285714,0.0,0.0,,0.0
cost_2c,equal_weight,14,0.5714285714285714,0.24097373909038644,0.0,1.2412101118615981,0.0
cost_2c,random,14,0.5714285714285714,0.1523650105452523,0.0,1.2377298822172653,0.0
horizon_48h,naive_kelly,14,1.2857142857142858,0.4552488259057519,0.0,1.6457752827888277,0.0
horizon_48h,robust_G0,14,1.2857142857142858,0.4552488259057519,0.0,1.6457752827888277,0.0
horizon_48h,robust_G1,14,1.2857142857142858,0.0,0.0,,0.0
horizon_48h,robust_G2,14,1.2857142857142858,0.0,0.0,,0.0
horizon_48h,robust_G5,14,1.2857142857142858,0.0,0.0,,0.0
horizon_48h,equal_weight,14,1.2857142857142858,0.4401869493402637,0.0,1.6005360328245848,0.0
horizon_48h,random,14,1.2857142857142858,0.2882674240742313,0.0,1.622702901207761,0.0
horizon_72h,naive_kelly,14,1.1428571428571428,0.3940753398079613,0.0,1.7607064249369886,0.0
horizon_72h,robust_G0,14,1.1428571428571428,0.3941340877110666,0.0,1.7610628769637535,0.0
horizon_72h,robust_G1,14,1.1428571428571428,0.0,0.0,,0.0
horizon_72h,robust_G2,14,1.1428571428571428,0.0,0.0,,0.0
horizon_72h,robust_G5,14,1.1428571428571428,0.0,0.0,,0.0
horizon_72h,equal_weight,14,1.1428571428571428,0.3870819846221347,0.0,1.7462044382876434,0.0
horizon_72h,random,14,1.1428571428571428,0.2524325039890749,0.0,1.7775411767154012,0.0
budget_0.3,naive_kelly,14,1.0714285714285714,0.15150338327532703,0.0,1.4418783998201559,0.0
budget_0.3,robust_G0,14,1.0714285714285714,0.15150338327532703,0.0,1.4418783998201559,0.0
budget_0.3,robust_G1,14,1.0714285714285714,0.0,0.0,,0.0
budget_0.3,robust_G2,14,1.0714285714285714,0.0,0.0,,0.0
budget_0.3,robust_G5,14,1.0714285714285714,0.0,0.0,,0.0
budget_0.3,equal_weight,14,1.0714285714285714,0.14994395828002233,0.0,1.4261634902750233,0.0
budget_0.3,random,14,1.0714285714285714,0.09696222288808777,0.0,1.449906002306738,0.0
